ID1,ID2,weights
0,1,224
0,10,2
0,11,2
0,23,13
0,24,12
0,25,16
0,26,85
0,28,2
0,30,4
0,34,3
0,35,1
0,36,11
0,37,4
0,38,3
0,39,3
0,40,3
0,41,5
0,43,3
0,45,2
0,46,2
0,47,14
0,48,1
1,2,2
1,10,2
1,11,2
1,23,11
1,24,18
1,25,26
1,26,80
1,28,5
1,30,6
1,33,1
1,34,5
1,36,10
1,37,3
1,38,7
1,39,2
1,40,5
1,41,8
1,42,2
1,43,2
1,44,1
1,45,2
1,46,3
1,47,18
1,48,2
2,3,4
2,4,3
2,5,2
2,6,3
2,7,6
2,8,3
2,12,1
2,13,2
2,15,2
2,16,2
2,17,1
2,18,1
2,22,2
2,24,1
2,26,3
2,27,1
2,28,90
2,29,4
2,30,34
2,31,104
2,32,124
2,33,36
2,34,55
2,35,1
2,36,20
2,38,1
2,39,10
2,40,12
2,42,131
2,45,17
2,47,1
2,48,2
2,49,1
2,50,1
3,32,11
3,33,8
3,4,10
3,5,7
3,6,10
3,7,47
3,8,9
3,41,1
3,39,4
3,34,5
3,46,1
3,48,1
3,40,3
3,50,1
3,27,1
3,29,91
3,31,11
4,32,6
4,33,4
4,36,4
4,5,70
4,6,97
4,7,28
4,8,9
4,41,1
4,39,3
4,44,1
4,34,4
4,40,3
4,49,1
4,28,2
4,29,22
4,30,2
4,31,6
5,32,7
5,33,2
5,6,50
5,7,14
5,8,18
5,41,1
5,39,1
5,34,8
5,40,1
5,36,1
5,28,1
5,29,11
5,30,1
5,31,7
6,32,3
6,33,2
6,7,5
6,8,125
6,41,1
6,39,3
6,44,1
6,46,96
6,48,72
6,40,1
6,49,1
6,28,5
6,29,11
6,31,3
7,32,5
7,33,6
7,39,3
7,8,6
7,34,3
7,40,2
7,36,6
7,28,5
7,29,163
7,30,5
7,31,5
8,32,1
8,33,1
8,40,2
8,41,1
8,39,1
8,46,97
8,48,62
8,25,1
8,28,5
8,29,11
8,31,3
9,33,1
9,45,1
9,40,1
9,42,1
9,12,17
9,13,18
9,15,17
9,16,17
9,17,19
9,19,2
9,20,19
9,21,19
9,22,18
9,23,17
9,30,2
10,11,91
10,13,5
10,15,25
10,17,40
10,18,23
10,19,21
10,20,1
10,21,5
10,22,1
10,23,110
10,24,114
10,25,92
10,26,2
10,30,3
10,34,2
10,36,11
10,37,167
10,38,166
10,39,138
10,40,81
10,41,65
10,43,125
10,44,40
10,45,6
10,47,89
11,12,3
11,13,9
11,15,15
11,16,1
11,17,28
11,18,19
11,19,14
11,20,2
11,21,10
11,22,8
11,23,55
11,24,56
11,25,53
11,28,1
11,34,1
11,37,70
11,38,67
11,39,39
11,40,40
11,41,39
11,43,37
11,44,7
11,45,7
11,47,63
12,32,1
12,33,2
12,40,4
12,42,1
12,13,60
12,15,130
12,16,133
12,17,31
12,18,2
12,19,9
12,20,25
12,21,54
12,22,157
12,23,3
12,45,1
12,30,3
12,31,1
13,15,43
13,16,45
13,17,81
13,18,41
13,19,53
13,20,82
13,21,225
13,22,145
13,23,4
13,24,2
13,25,1
13,28,1
13,30,3
13,31,2
13,32,2
13,33,4
13,37,2
13,38,3
13,40,2
13,41,2
13,42,2
13,43,1
13,45,1
13,47,3
14,51,215
14,52,282
14,53,280
15,33,2
15,40,3
15,45,1
15,16,65
15,17,54
15,18,14
15,19,44
15,20,26
15,21,31
15,22,119
15,23,4
15,42,2
15,30,2
16,32,1
16,33,3
16,40,5
16,42,1
16,17,26
16,18,10
16,19,2
16,20,25
16,21,30
16,22,114
16,23,1
16,45,1
16,30,2
16,31,1
17,18,146
17,19,82
17,20,90
17,21,85
17,22,47
17,23,1
17,24,1
17,25,2
17,30,2
17,31,1
17,32,1
17,33,3
17,34,1
17,37,2
17,38,3
17,40,3
17,41,2
17,45,2
17,47,2
18,32,1
18,19,34
18,20,64
18,21,45
18,22,19
18,23,213
18,28,1
18,42,1
18,31,1
19,20,27
19,21,49
19,22,10
20,33,1
20,45,1
20,40,2
20,21,91
20,22,55
20,30,2
21,22,154
21,23,3
21,24,2
21,30,3
21,33,3
21,37,3
21,38,3
21,39,1
21,40,2
21,41,2
21,43,1
21,45,1
21,47,1
22,32,1
22,33,2
22,40,5
22,23,5
22,45,1
22,42,2
22,30,3
22,31,2
23,24,253
23,25,212
23,26,2
23,30,1
23,34,2
23,35,1
23,36,1
23,38,210
23,39,157
23,40,109
23,41,116
23,43,171
23,45,6
23,46,1
23,47,256
24,25,233
24,26,10
24,28,1
24,30,3
24,34,2
24,36,4
24,37,236
24,38,228
24,39,184
24,40,112
24,41,134
24,43,200
24,44,86
24,45,6
24,46,1
24,47,275
24,48,1
25,26,22
25,28,2
25,30,2
25,31,1
25,32,1
25,34,2
25,36,4
25,37,188
25,38,177
25,39,146
25,40,103
25,41,129
25,43,150
25,44,68
25,45,6
25,46,2
25,47,234
25,48,1
26,35,9
26,36,32
26,37,1
